Timestamp,Age,Gender,"Height (scale in cm, e.g. 183)",Where are you come from? (Country),Were your parents born from the same country as you?,How many language you speak at home to your family?,Religion denomination,Which academic field are you studying?,How many different countries have you lived in?,What is the temperature in degrees celsius right now?,Past intercultural experience: have you ever done one of the following international programs?,Indicate how strong you agree/disagree with the following sentence: [Q1. I enjoy being with people who have different values],Indicate how strong you agree/disagree with the following sentence: [Q2. I would rather work with someone who is like me than with someone who is different],Indicate how strong you agree/disagree with the following sentence: [Q3. I prefer being with people who have similar ways of thinking and values to mine],Indicate how strong you agree/disagree with the following sentence: [Q4. I often read and watch news about foreign countries],Indicate how strong you agree/disagree with the following sentence: [Q5. I have strong interest in international affairs],Indicate how strong you agree/disagree with the following sentence: [Q6. I often talk about situations and events in foreign countries with family and or friends],Indicate how strong you agree/disagree with the following sentence: [Q7. I am very interested in volunteer work in developing countries],Indicate how strong you agree/disagree with the following sentence: [Q8. I plan to be involved in international volunteer activities],Q1. People like you,Q2. Your national companies,Q3. Creation of jobs,Q4. Our quality of life,Q5. your national cultural history and traditions,Q6. your ability to learn about other cultures,Q7. Democracy and human rights,Q8. Maintaining cultural diversity in the world,Q9. The environment,Q10. Spread out COVID19,Q11. I have changed my opinion about the positive impact of globalization on humankind due to COVID19
June,25,7,163,BG,,,,Social Science,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,,,,,,,,,,,
April,34,8,171,CN,no,5,Don't know,Social Science,5,7,Volunteer service,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,3,1,5,3,1,1,3,5,3,4,yes
June,35,3,190,CN,yes,,,Mathematics and Statistics,,,,Disagree,Strongly Disagree,,Disagree,Agree,Disagree,Disagree,Strongly Disagree,1,4,3,1,2,4,2,2,4,3,yes
April,23,2,186,SY,no,3,Buddhist,Arts and Humanities,5,7,Studying school abroad,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,2,3,5,3,5,5,5,3,1,3,no
May,24,5,176,CN,no,2,Other Christian,Information and Communication Technologies,3,10,None,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,5,5,4,3,4,5,2,2,2,5,yes
February,18,10,157,PH,,4,Roman Catholic,Information and Communication Technologies,4,-5,Internship program,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,,,,,,,,,,,,
June,21,2,152,CN,no,4,Hindu,Business & Admin and Law,1,27,Volunteer service,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,1,5,3,1,2,2,1,4,5,2,yes
July,26,5,183,JP,yes,3,Hindu,Mathematics and Statistics,2,-3,Internship program,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,2,2,1,2,4,1,2,5,5,2,no
April,30,7,198,CN,no,4,Hindu,Mathematics and Statistics,1,25,Volunteer service,,,Strongly Disagree,,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,3,5,3,3,2,1,5,3,3,1,no
March,33,5,172,ID,yes,5,Other,Natural Science,3,21,Internship program,Disagree,Disagree,,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,3,3,2,4,3,4,5,3,3,1,yes
May,28,9,160,PS,yes,5,Don't know,Business & Admin and Law,5,-3,None,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,2,3,4,4,2,3,1,5,5,4,yes
March,20,3,198,FR,yes,4,Roman Catholic,Social Science,1,-3,Studying school abroad,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,2,1,3,1,2,3,1,2,5,3,no
March,18,7,188,US,no,2,Don't know,Mathematics and Statistics,2,15,Studying school abroad,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,1,2,2,2,1,4,2,3,2,3,no
May,37,1,172,ID,no,2,Other Christian,Business & Admin and Law,3,17,None,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,3,2,1,1,3,3,2,5,1,1,no
April,19,10,185,CN,yes,1,Jew,Mathematics and Statistics,2,-5,Internship program,Strongly Disagree,Strongly Agree,,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,1,2,1,1,3,3,5,1,2,3,yes
April,34,10,170,PH,no,5,Don't know,Natural Science,4,-1,None,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,4,1,3,4,5,4,3,5,3,4,no
June,25,6,193,MX,no,4,Roman Catholic,Mathematics and Statistics,3,1,Internship program,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,1,3,4,2,3,3,2,4,3,1,no
March,20,8,156,CN,yes,1,Do not belong to a any religion,Social Science,2,17,None,,,,,Strongly Disagree,Strongly Disagree,Agree,Agree,4,1,1,4,5,4,2,2,4,2,yes
February,35,9,165,PH,,2,Other,Information and Communication Technologies,1,26,None,Agree,Strongly Agree,,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,
April,21,2,165,PL,no,5,Other,Mathematics and Statistics,5,-1,Studying school abroad,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,4,2,5,5,3,4,1,1,5,3,no
June,31,7,157,CN,no,5,Do not belong to a any religion,Information and Communication Technologies,5,17,Studying school abroad,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,3,1,5,5,4,4,5,2,1,2,no
May,40,4,158,CN,yes,2,Orthodox,Information and Communication Technologies,1,13,Volunteer service,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,1,5,1,3,5,3,2,5,3,4,no
August,22,3,157,CZ,yes,2,Do not belong to a any religion,Business & Admin and Law,1,5,Internship program,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,1,4,2,2,2,2,3,5,5,5,no
August,29,5,179,CO,yes,3,Other,Arts and Humanities,4,23,None,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,1,4,3,3,1,1,2,4,1,5,no
July,,7,186,LK,,5,Roman Catholic,Business & Admin and Law,5,-4,Studying school abroad,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,
April,40,1,196,ID,no,4,Do not belong to a any religion,Natural Science,1,-5,Internship program,Disagree,Disagree,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,2,5,3,2,2,1,5,1,5,4,no
March,21,6,197,BE,yes,1,Jew,Social Science,2,19,Volunteer service,Strongly Agree,Strongly Disagree,,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,4,3,5,3,3,3,3,2,3,4,no
May,30,6,171,CZ,,1,Other Christian,Social Science,1,-3,None,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,,,,,,,,,,,,
March,30,6,181,US,no,,,Business & Admin and Law,,,,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,3,2,1,3,2,2,4,4,2,1,yes
February,23,3,165,PL,no,1,Do not belong to a any religion,Social Science,5,1,Volunteer service,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,1,1,5,2,2,4,3,1,1,4,yes
May,33,6,188,CN,no,2,Don't know,Mathematics and Statistics,4,0,Studying school abroad,Strongly Disagree,Agree,,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,1,1,1,5,1,1,1,4,3,4,yes
May,,5,172,DO,yes,4,Buddhist,Natural Science,5,26,None,Disagree,Strongly Agree,,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1,1,3,4,2,5,5,1,2,3,no
August,33,3,174,CO,,1,Other,Arts and Humanities,5,23,Volunteer service,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,,,,,,,,,,,,
April,28,9,167,BO,no,3,Protestant,Information and Communication Technologies,2,9,Internship program,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,5,3,2,2,2,2,3,4,2,5,yes
July,33,2,165,ID,yes,3,Protestant,Arts and Humanities,3,22,None,Strongly Disagree,Strongly Disagree,,Disagree,Strongly Agree,Agree,Disagree,Agree,5,1,1,5,1,5,3,2,2,1,yes
March,,3,197,CN,yes,5,Other Christian,Mathematics and Statistics,5,2,Volunteer service,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,1,2,4,2,2,5,2,1,1,3,no
April,30,7,164,VN,yes,1,Don't know,Information and Communication Technologies,1,16,None,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,4,5,2,3,1,5,5,5,5,4,no
August,33,4,189,PL,no,3,Jew,Mathematics and Statistics,4,13,Volunteer service,Disagree,Agree,,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,3,2,3,1,2,2,5,4,3,3,no
August,28,9,199,RU,yes,1,Other,Social Science,2,8,Internship program,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,4,2,2,4,5,4,1,5,2,5,no
April,23,1,174,PH,no,1,Hindu,Social Science,4,16,Studying school abroad,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,1,4,3,2,3,4,3,5,5,3,no
August,40,5,194,CA,yes,5,Don't know,Information and Communication Technologies,1,3,Volunteer service,Agree,Strongly Disagree,,Agree,Agree,Agree,Agree,Strongly Agree,2,3,2,5,1,2,4,5,1,5,no
August,19,1,165,US,yes,2,Buddhist,Business & Admin and Law,1,13,Volunteer service,,,Strongly Disagree,,Strongly Agree,Disagree,Agree,Agree,1,4,4,3,3,5,2,4,4,2,yes
July,35,7,177,RU,yes,1,Buddhist,Information and Communication Technologies,4,4,Studying school abroad,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,1,1,4,4,3,3,5,5,1,3,yes
April,35,9,189,SI,yes,3,Jew,Business & Admin and Law,4,21,None,Disagree,Agree,,Disagree,Disagree,Strongly Disagree,Agree,Agree,3,4,2,3,4,3,4,5,1,2,yes
April,37,8,192,CN,yes,1,Roman Catholic,Arts and Humanities,1,1,Volunteer service,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,1,3,1,1,3,2,5,3,5,4,yes
August,21,6,199,PH,no,1,Protestant,Business & Admin and Law,3,25,Internship program,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,4,4,4,5,2,2,3,3,4,5,yes
August,28,10,154,PE,yes,3,Hindu,Mathematics and Statistics,3,13,None,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,1,1,5,4,5,1,4,5,2,3,no
June,30,5,176,ID,no,4,Other,Business & Admin and Law,3,-5,Studying school abroad,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,1,4,5,3,4,5,3,3,4,4,yes
February,37,6,176,PH,no,4,Do not belong to a any religion,Mathematics and Statistics,3,19,Volunteer service,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,4,5,2,4,3,3,1,4,3,2,no
May,30,9,176,LU,yes,3,Jew,Mathematics and Statistics,1,26,Studying school abroad,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,1,1,4,5,3,1,5,4,1,2,yes
August,31,3,171,CN,yes,4,Other,Arts and Humanities,4,3,None,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,5,3,2,3,1,4,3,1,4,1,yes
February,20,1,196,PH,,1,Hindu,Social Science,5,18,None,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,,,,,,,,,,,,
August,32,7,183,CN,no,3,Jew,Arts and Humanities,5,11,None,Disagree,Agree,,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,2,1,4,2,4,3,2,2,1,4,no
August,26,1,162,CN,no,3,Buddhist,Social Science,2,-3,Studying school abroad,Agree,Agree,,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,1,4,5,2,4,3,2,2,3,3,no
April,27,3,169,ID,no,1,Don't know,Business & Admin and Law,3,0,Volunteer service,Strongly Agree,Agree,,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,1,1,4,1,4,3,3,1,5,4,yes
May,32,4,194,FR,no,3,Orthodox,Information and Communication Technologies,5,7,Internship program,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,4,3,4,2,4,4,4,1,1,5,no
May,,7,184,EG,no,5,Protestant,Information and Communication Technologies,4,27,None,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,3,3,4,1,1,3,5,4,5,4,no
June,36,3,150,CN,no,3,Don't know,Natural Science,2,2,Internship program,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,3,1,2,2,2,1,4,1,5,4,no
June,36,9,153,CN,no,2,Jew,Information and Communication Technologies,1,7,Studying school abroad,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,5,5,4,4,5,3,5,5,1,3,yes
August,24,4,161,HU,no,2,Jew,Arts and Humanities,4,1,Volunteer service,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,1,4,3,5,5,4,1,5,5,2,no
May,33,3,196,IE,yes,4,Jew,Mathematics and Statistics,5,19,Studying school abroad,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,3,1,1,5,3,2,2,4,1,4,yes
June,30,1,193,TH,yes,2,Protestant,Business & Admin and Law,2,17,Internship program,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,3,4,5,5,1,3,3,3,1,3,yes
March,,5,200,PE,,1,Other,Business & Admin and Law,4,12,Volunteer service,Strongly Agree,Strongly Agree,,Disagree,Strongly Agree,Strongly Agree,Disagree,,,,,,,,,,,,
May,18,9,170,ID,yes,5,Buddhist,Arts and Humanities,4,-5,Volunteer service,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,4,3,4,1,1,3,3,5,2,3,no
April,25,3,160,KE,yes,5,Don't know,Mathematics and Statistics,4,10,Studying school abroad,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,1,3,1,1,3,1,4,4,3,1,yes
May,18,2,175,ID,no,4,Buddhist,Social Science,3,-5,Volunteer service,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,4,5,3,2,2,2,2,1,5,3,no
February,29,10,182,DE,yes,,,Arts and Humanities,,,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,4,3,2,3,4,2,3,2,3,5,no
February,28,7,160,ID,yes,5,Protestant,Natural Science,4,20,Volunteer service,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,3,5,4,2,3,5,1,4,2,4,yes
March,31,10,182,JP,yes,1,Do not belong to a any religion,Arts and Humanities,5,3,Studying school abroad,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,3,3,4,3,2,3,1,2,3,5,yes
February,31,7,163,CN,no,,,Mathematics and Statistics,,,,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,2,2,4,3,1,4,4,1,1,1,no
August,22,3,171,FI,yes,5,Hindu,Mathematics and Statistics,5,16,Volunteer service,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,2,2,3,4,4,1,4,3,5,2,yes
February,28,7,197,BR,no,5,Don't know,Information and Communication Technologies,3,0,Studying school abroad,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,2,4,3,1,3,3,3,5,4,3,no
March,29,8,197,ID,no,2,Orthodox,Arts and Humanities,4,23,Internship program,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,2,4,1,3,3,3,4,1,3,2,no
May,19,6,157,CN,yes,4,Other Christian,Natural Science,2,6,Internship program,Disagree,Strongly Disagree,,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,5,2,4,1,4,3,4,2,3,2,yes
June,20,4,191,CN,no,5,Hindu,Mathematics and Statistics,1,16,None,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,3,3,3,2,1,5,4,3,3,4,yes
June,19,9,171,ID,yes,4,Hindu,Social Science,3,16,Volunteer service,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,1,3,2,1,5,1,1,3,1,1,yes
August,29,5,184,CN,no,4,Jew,Arts and Humanities,4,18,Volunteer service,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,1,1,1,1,4,2,1,4,5,1,yes
June,38,6,196,PE,no,1,Other Christian,Information and Communication Technologies,3,-4,Volunteer service,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,5,4,2,1,3,4,5,3,1,5,yes
